gender,pos_tag,count,percentage
male,NOUN,444,72.78688524590164
male,VERB,104,17.04918032786885
male,ADJ,40,6.557377049180328
male,PROPN,22,3.606557377049181
female,NOUN,368,74.64503042596348
female,VERB,63,12.778904665314403
female,ADJ,46,9.330628803245435
female,PROPN,16,3.2454361054766734
child,NOUN,369,70.28571428571428
child,VERB,99,18.857142857142858
child,ADJ,44,8.380952380952381
child,PROPN,12,2.2857142857142856
child,INTJ,1,0.19047619047619047
