gender,pos_tag,count,percentage
male,NOUN,551,71.65149544863459
male,VERB,105,13.654096228868662
male,ADJ,100,13.003901170351106
male,PROPN,8,1.0403120936280885
male,X,2,0.26007802340702213
male,ADP,2,0.26007802340702213
male,ADV,1,0.13003901170351106
female,NOUN,643,72.65536723163842
female,VERB,127,14.350282485875706
female,ADJ,101,11.412429378531073
female,PROPN,6,0.6779661016949152
female,ADV,4,0.4519774011299435
female,X,3,0.3389830508474576
female,ADP,1,0.11299435028248588
child,NOUN,625,68.08278867102396
child,VERB,167,18.191721132897605
child,ADJ,100,10.893246187363834
child,ADV,11,1.1982570806100217
child,ADP,7,0.7625272331154684
child,PROPN,7,0.7625272331154684
child,X,1,0.10893246187363835
