gender,masculine_count,feminine_count,masculine_pct,feminine_pct,ratio_m_f
male,99,8,92.5233644859813,7.476635514018691,12.375
female,57,29,66.27906976744185,33.72093023255814,1.9655172413793103
child,65,25,72.22222222222221,27.77777777777778,2.6
