gender,masculine_count,feminine_count,masculine_pct,feminine_pct,ratio_m_f
male,93,0,100.0,0.0,inf
female,40,36,52.63157894736842,47.368421052631575,1.1111111111111112
child,59,11,84.28571428571429,15.714285714285714,5.363636363636363
